"","id","account_id","date","amount","payments","loan_length","loan_status"
"90",5312,1772,1996-03-13,202788,5633,"36","C"
"91",5313,1776,1998-05-27,43200,1800,"24","C"
"92",5314,1787,1993-07-05,96396,8033,"12","B"
"93",5316,1801,1993-07-11,165960,4610,"36","A"
"94",5318,1808,1998-09-30,385584,8033,"48","C"
"95",5319,1811,1994-06-23,239460,3991,"60","C"
"96",5320,1819,1998-01-11,143676,3991,"36","C"
"97",5325,1843,1993-08-03,105804,2939,"36","A"
"98",5329,1862,1996-10-16,396120,6602,"60","C"
"99",5332,1869,1998-01-29,37944,1054,"36","C"
"100",5334,1876,1998-09-10,209040,8710,"24","C"
"101",5337,1886,1996-07-31,162468,4513,"36","C"
"102",5338,1888,1997-08-30,57360,4780,"12","B"
"103",5343,1906,1997-10-08,44952,1873,"24","C"
"104",5346,1928,1998-12-06,55632,2318,"24","C"
"105",5350,1967,1996-04-21,249312,5194,"48","C"
"106",5351,1978,1994-12-04,205200,5700,"36","A"
"107",5352,1993,1995-04-15,68400,5700,"12","B"
"108",5354,2000,1998-07-14,290820,4847,"60","C"
"109",5358,2018,1997-01-21,38520,3210,"12","A"
"110",5360,2035,1998-01-25,176328,4898,"36","C"
"111",5363,2051,1997-04-22,293880,4898,"60","D"
"112",5365,2055,1998-07-19,271260,4521,"60","C"
"113",5366,2062,1996-10-29,86184,7182,"12","A"
"114",5367,2064,1997-08-26,83628,2323,"36","C"
"115",5368,2073,1998-10-05,44640,1860,"24","C"
"116",5369,2080,1997-09-12,214596,5961,"36","C"
"117",5375,2106,1996-10-03,101520,8460,"12","A"
"118",5377,2116,1997-08-04,92400,7700,"12","A"
"119",5382,2134,1997-03-17,22932,637,"36","C"
"120",5384,2142,1998-03-07,23328,1944,"12","C"
"121",5385,2143,1996-09-09,71460,1985,"36","C"
"122",5388,2153,1996-11-28,61560,5130,"12","A"
"123",5389,2165,1997-08-22,78600,3275,"24","C"
"124",5390,2167,1994-10-30,170256,7094,"24","A"
"125",5395,2176,1994-07-30,299088,8308,"36","B"
"126",5398,2187,1997-11-04,53472,4456,"12","A"
"127",5409,2218,1995-11-18,182040,3034,"60","C"
"128",5413,2227,1995-12-12,92976,3874,"24","A"
"129",5414,2228,1995-03-29,185952,3874,"48","C"
"130",5415,2236,1996-09-26,139464,3874,"36","D"
"131",5418,2245,1995-01-16,347952,7249,"48","C"
"132",5419,2246,1997-02-05,415800,6930,"60","C"
"133",5420,2247,1997-02-24,72504,3021,"24","C"
"134",5428,2262,1998-12-02,230220,6395,"36","C"
"135",5429,2268,1996-07-18,20196,561,"36","C"
"136",5435,2279,1998-06-01,314688,6556,"48","C"
"137",5445,2322,1996-06-29,46320,1930,"24","A"
"138",5446,2334,1997-08-04,48312,2013,"24","C"
"139",5447,2335,1997-11-12,541200,9020,"60","D"
"140",5449,2343,1995-11-04,99336,4139,"24","A"
"141",5450,2345,1994-12-11,199680,3328,"60","C"
"142",5451,2350,1997-05-11,159744,3328,"48","C"
"143",5452,2352,1996-04-29,49440,824,"60","C"
"144",5453,2361,1995-04-01,156672,4352,"36","A"
"145",5463,2413,1998-10-06,17952,1496,"12","C"
"146",5464,2419,1995-01-30,95808,7984,"12","A"
"147",5469,2445,1997-12-26,293160,4886,"60","C"
"148",5470,2456,1996-04-15,200976,4187,"48","C"
"149",5479,2486,1994-01-10,24516,2043,"12","A"
"150",5482,2496,1996-01-12,165120,2752,"60","C"
"151",5486,2516,1997-06-13,466608,9721,"48","C"
"152",5491,2545,1998-02-13,428784,8933,"48","C"
"153",5494,2572,1996-06-13,360000,7500,"48","C"
"154",5495,2580,1996-08-02,89340,1489,"60","C"
"155",5501,2622,1998-05-21,136344,5681,"24","C"
"156",5519,2694,1994-03-08,91632,7636,"12","A"
"157",5520,2699,1998-08-30,231168,4816,"48","C"
"158",5523,2705,1993-12-08,93888,2608,"36","A"
"159",5525,2720,1998-04-27,93888,2608,"36","C"
"160",5526,2725,1998-11-08,69624,1934,"36","C"
"161",5527,2728,1998-06-15,156420,2607,"60","C"
"162",5531,2753,1997-09-30,66432,2768,"24","C"
"163",5532,2754,1997-05-04,335280,6985,"48","C"
"164",5533,2762,1994-07-05,111384,4641,"24","A"
"165",5549,2824,1994-07-16,50460,841,"60","C"
"166",5556,2872,1997-05-19,268320,4472,"60","C"
"167",5561,2910,1998-08-29,437460,7291,"60","C"
"168",5563,2912,1996-02-29,380160,6336,"60","C"
"169",5568,2933,1994-05-17,272520,4542,"60","C"
"170",5569,2936,1998-01-20,504000,8400,"60","C"
"171",5576,2962,1994-12-21,31248,2604,"12","A"
"172",5582,2982,1998-04-17,41256,3438,"12","C"
"173",5584,2986,1997-12-06,24792,1033,"24","C"
"174",5585,2988,1998-07-08,88608,7384,"12","C"
"175",5586,2994,1996-09-14,48744,1354,"36","C"
"176",5589,3005,1998-06-05,390000,8125,"48","C"
"177",5591,3021,1996-12-04,155616,3242,"48","C"
"178",5593,3037,1996-04-18,277884,7719,"36","D"
"179",5595,3050,1994-09-02,82896,6908,"12","A"
"180",5599,3064,1995-03-21,15420,1285,"12","A"
"181",5606,3084,1996-08-28,253512,7042,"36","D"
"182",5610,3112,1996-02-24,123216,2567,"48","C"
"183",5611,3115,1996-11-15,321180,5353,"60","C"
"184",5614,3137,1998-09-21,253560,4226,"60","C"
"185",5616,3143,1998-05-15,130896,5454,"24","C"
"186",5620,3161,1998-06-16,30012,2501,"12","C"
"187",5624,3166,1995-01-03,177744,3703,"48","D"
"188",5625,3189,1996-12-15,222180,3703,"60","D"
"189",5634,3229,1997-05-01,39024,3252,"12","A"
"190",5635,3230,1996-10-04,77184,2144,"36","C"
"191",5638,3249,1997-08-27,68124,5677,"12","A"
"192",5643,3273,1997-09-21,94512,7876,"12","B"
"193",5644,3293,1998-11-27,276084,7669,"36","C"
"194",5651,3329,1997-12-08,19248,1604,"12","A"
"195",5656,3353,1997-02-09,146064,6086,"24","C"
"196",5657,3354,1994-07-05,4980,415,"12","A"
"197",5665,3390,1998-03-11,40632,3386,"12","C"
"198",5669,3403,1998-06-27,71820,1995,"36","C"
"199",5674,3418,1997-06-10,207264,4318,"48","C"
"200",5681,3448,1997-10-20,68664,2861,"24","C"
"201",5682,3455,1997-03-07,67464,5622,"12","A"
"202",5683,3460,1998-05-29,140688,2931,"48","C"
"203",5693,3489,1995-08-01,44088,1837,"24","A"
"204",5698,3556,1998-09-22,174840,2914,"60","C"
"205",5699,3562,1998-05-24,174960,7290,"24","C"
"206",5706,3608,1996-05-24,161496,4486,"36","C"
"207",5713,3629,1995-05-30,158760,2646,"60","C"
"208",5718,3637,1997-09-01,14028,1169,"12","A"
"209",5719,3664,1997-09-20,271584,5658,"48","C"
"210",5723,3674,1994-09-10,23628,1969,"12","A"
"211",5724,3678,1995-02-05,316140,5269,"60","D"
"212",5725,3679,1996-07-23,444864,9268,"48","C"
"213",5731,3711,1997-11-05,460980,7683,"60","D"
"214",5739,3747,1995-01-02,76380,6365,"12","A"
"215",5740,3752,1995-04-02,18564,1547,"12","A"
"216",5741,3754,1996-11-03,68544,2856,"24","A"
"217",5750,3804,1996-02-08,63252,5271,"12","A"
"218",5754,3834,1994-09-28,23052,1921,"12","A"
"219",5758,3859,1997-05-02,307200,5120,"60","D"
"220",5760,3862,1998-09-18,74916,2081,"36","C"
"221",5765,3875,1998-02-10,153936,6414,"24","C"
"222",5772,3906,1998-03-08,334620,5577,"60","C"
"223",5773,3907,1998-03-16,133848,5577,"24","C"
"224",5774,3916,1998-07-12,96984,2694,"36","C"
"225",5779,3942,1997-10-14,107352,2982,"36","C"
"226",5782,3953,1998-01-04,63576,5298,"12","C"
"227",5784,3967,1997-03-29,84600,2350,"36","D"
"228",5790,4033,1997-03-20,84288,1756,"48","C"
"229",5799,4052,1997-12-28,106128,2948,"36","C"
"230",5804,4079,1995-04-05,158976,3312,"48","C"
"231",5805,4081,1995-11-28,137904,5746,"24","B"
"232",5808,4099,1997-07-31,41856,872,"48","C"
"233",5815,4116,1998-06-03,151200,4200,"36","C"
"234",5817,4127,1997-08-15,100800,4200,"24","D"
"235",5823,4144,1998-06-21,212976,5916,"36","C"
"236",5830,4190,1997-08-28,405780,6763,"60","C"
"237",5836,4259,1994-08-27,79632,3318,"24","A"
"238",5837,4260,1994-06-29,244560,4076,"60","C"
"239",5841,4268,1998-11-04,41988,3499,"12","C"
"240",5850,4293,1997-05-22,164196,4561,"36","C"
"241",5856,4320,1997-08-09,51360,4280,"12","B"
"242",5861,4337,1994-12-08,51408,2142,"24","A"
"243",5862,4342,1997-12-09,100128,4172,"24","C"
"244",5865,4354,1998-10-30,327660,5461,"60","C"
"245",5868,4361,1997-03-29,90156,7513,"12","A"
"246",5876,4413,1995-02-08,221280,4610,"48","C"
"247",5877,4414,1995-02-23,97224,4051,"24","A"
"248",5878,4415,1997-04-01,74040,6170,"12","A"
"249",5880,4423,1995-10-31,73836,2051,"36","A"
"250",5882,4427,1994-09-26,87816,7318,"12","A"
"251",5886,4447,1996-10-31,192744,5354,"36","C"
"252",5887,4448,1994-10-03,192744,5354,"36","A"
"253",5889,4456,1998-02-09,321240,5354,"60","C"
"254",5892,4462,1996-05-14,66480,2770,"24","B"
"255",5893,4467,1998-08-03,86184,2394,"36","C"
"256",5895,4473,1997-01-03,93960,1566,"60","C"
"257",5897,4476,1996-09-25,15192,633,"24","A"
"258",5900,4503,1996-01-01,135360,2820,"48","C"
"259",5906,4533,1998-05-05,81144,2254,"36","C"
"260",5909,4550,1998-01-03,61320,1022,"60","C"
"261",5918,4576,1994-06-04,300204,8339,"36","A"
"262",5922,4580,1995-08-05,20220,1685,"12","A"
"263",5923,4585,1996-10-10,64656,1347,"48","C"
"264",5930,4616,1998-01-12,66696,2779,"24","C"
"265",5931,4618,1997-03-17,66696,2779,"24","D"
"266",5932,4626,1997-06-18,33348,2779,"12","A"
"267",5933,4631,1997-12-13,87528,3647,"24","C"
"268",5938,4650,1996-08-25,402000,6700,"60","C"
"269",5940,4660,1997-05-28,106944,4456,"24","C"
"270",5942,4681,1997-03-15,162624,3388,"48","C"
"271",5953,4715,1997-03-14,97176,4049,"24","C"
"272",5956,4725,1997-11-04,168264,4674,"36","C"
"273",5959,4727,1995-08-11,107640,4485,"24","A"
"274",5963,4746,1997-09-07,204780,3413,"60","C"
"275",5970,4774,1995-07-09,465072,9689,"48","C"
"276",5973,4784,1997-11-24,219456,4572,"48","C"
"277",5976,4794,1997-12-27,465504,9698,"48","D"
"278",5977,4803,1997-02-25,59136,1232,"48","C"
"279",5980,4825,1995-08-18,21396,1783,"12","A"
"280",5988,4851,1996-08-22,141648,5902,"24","A"
"281",5989,4852,1996-03-04,213300,5925,"36","C"
"282",5991,4858,1998-07-27,335184,6983,"48","D"
"283",5992,4863,1997-03-18,76080,6340,"12","A"
"284",5997,4894,1993-11-04,117024,4876,"24","A"
"285",5999,4907,1996-01-03,98832,2059,"48","C"
"286",6004,4937,1994-07-23,143904,5996,"24","A"
"287",6006,4948,1996-11-15,359760,5996,"60","C"
"288",6007,4949,1997-08-30,289920,6040,"48","C"
"289",6010,4969,1997-03-06,150180,2503,"60","C"
"290",6011,4981,1996-11-28,179328,3736,"48","C"
"291",6012,4994,1996-08-03,258444,7179,"36","C"
"292",6013,4995,1996-02-03,128988,3583,"36","D"
"293",6014,4999,1997-05-18,165168,4588,"36","C"
"294",6015,5001,1996-11-09,110112,4588,"24","A"
"295",6019,5033,1996-07-25,11400,950,"12","A"
"296",6027,5066,1996-02-10,61656,2569,"24","B"
"297",6028,5072,1997-02-09,317520,5292,"60","C"
"298",6037,5118,1997-05-04,53232,1109,"48","C"
"299",6038,5120,1994-08-10,323472,6739,"48","A"
"300",6043,5126,1996-01-11,20352,424,"48","C"
"301",6044,5133,1998-01-27,57060,4755,"12","C"
"302",6052,5164,1998-03-23,22356,621,"36","C"
"303",6054,5180,1998-07-16,58764,4897,"12","C"
"304",6055,5181,1997-04-28,399120,6652,"60","C"
"305",6059,5196,1997-12-28,79824,6652,"12","A"
"306",6063,5213,1996-04-25,320976,6687,"48","D"
"307",6064,5215,1994-08-04,14628,1219,"12","A"
"308",6066,5228,1994-07-11,173808,7242,"24","A"
"309",6072,5256,1994-05-10,193968,5388,"36","A"
"310",6073,5263,1996-11-12,276300,4605,"60","C"
"311",6075,5267,1997-11-26,129312,5388,"24","D"
"312",6076,5269,1997-02-02,117420,1957,"60","C"
"313",6077,5270,1993-11-22,79608,3317,"24","A"
"314",6078,5283,1998-09-09,170832,3559,"48","C"
"315",6083,5305,1998-03-31,240528,5011,"48","C"
"316",6087,5313,1994-02-27,300660,5011,"60","C"
"317",6088,5317,1997-03-07,90180,2505,"36","C"
"318",6095,5358,1997-01-24,68340,1139,"60","C"
"319",6097,5362,1997-08-21,202848,4226,"48","C"
"320",6103,5385,1994-04-07,149340,2489,"60","C"
"321",6104,5395,1997-09-05,158184,4394,"36","C"
"322",6109,5422,1996-06-03,368880,6148,"60","C"
"323",6111,5428,1993-09-24,174744,7281,"24","B"
"324",6112,5442,1994-06-17,174744,7281,"24","B"
"325",6113,5445,1997-10-01,78696,2186,"36","C"
"326",6118,5477,1997-10-04,349392,7279,"48","C"
"327",6120,5481,1994-09-11,209184,4358,"48","A"
"328",6130,5541,1996-07-18,32640,680,"48","C"
"329",6136,5572,1998-04-19,140880,2348,"60","C"
"330",6137,5574,1996-04-10,44628,3719,"12","A"
"331",6142,5591,1997-01-21,221880,3698,"60","C"
"332",6144,5593,1996-08-09,44376,3698,"12","A"
"333",6147,5602,1997-12-28,177504,3698,"48","C"
"334",6150,5622,1994-11-02,83016,6918,"12","A"
"335",6151,5628,1995-04-25,225420,3757,"60","C"
"336",6153,5632,1995-07-25,285600,4760,"60","C"
"337",6157,5650,1995-07-10,98592,4108,"24","A"
"338",6168,5698,1998-11-21,99216,2756,"36","C"
"339",6169,5700,1995-03-16,103680,1728,"60","D"
"340",6173,5724,1997-01-08,232560,4845,"48","C"
"341",6175,5735,1996-02-21,290700,4845,"60","D"
"342",6178,5742,1995-12-16,232560,4845,"48","C"
"343",6185,5774,1995-11-28,31176,1299,"24","A"
"344",6190,5794,1996-05-06,123600,2060,"60","C"
"345",6196,5837,1997-09-14,177804,4939,"36","C"
"346",6202,5891,1994-04-18,65184,5432,"12","A"
"347",6207,5912,1998-06-23,184620,3077,"60","C"
"348",6210,5927,1994-06-06,87216,1817,"48","B"
"349",6215,5944,1998-06-18,78720,1640,"48","C"
"350",6216,5952,1994-09-30,141240,5885,"24","A"
"351",6223,5991,1994-11-03,61056,1272,"48","A"
"352",6227,6030,1995-03-04,28248,1177,"24","A"
"353",6228,6034,1993-12-01,464520,7742,"60","B"
"354",6229,6040,1994-10-02,11736,489,"24","A"
"355",6232,6051,1994-07-08,276660,7685,"36","B"
"356",6234,6061,1998-05-28,5148,429,"12","C"
"357",6235,6062,1998-04-19,321360,5356,"60","C"
"358",6237,6075,1998-01-06,407952,8499,"48","D"
"359",6239,6083,1997-09-28,360864,7518,"48","D"
"360",6242,6097,1997-10-22,26208,728,"36","C"
"361",6244,6118,1995-01-08,270648,7518,"36","B"
"362",6249,6138,1997-07-30,67608,2817,"24","C"
"363",6253,6148,1994-11-04,59760,2490,"24","A"
"364",6254,6157,1997-12-28,247920,5165,"48","C"
"365",6255,6158,1997-02-08,247920,5165,"48","D"
"366",6272,6226,1994-12-20,398640,6644,"60","C"
"367",6278,6265,1997-06-10,87360,3640,"24","C"
"368",6279,6273,1994-06-07,87360,3640,"24","A"
"369",6283,6289,1996-08-11,85632,1784,"48","C"
"370",6294,6353,1995-02-12,79920,1332,"60","C"
"371",6296,6358,1996-08-06,270384,5633,"48","C"
"372",6297,6363,1994-10-25,17508,1459,"12","A"
"373",6302,6397,1996-09-16,181020,3017,"60","C"
"374",6303,6400,1996-02-12,72408,3017,"24","B"
"375",6306,6425,1994-12-20,36684,3057,"12","A"
"376",6309,6434,1996-11-11,110136,4589,"24","A"
"377",6310,6440,1997-06-17,34572,2881,"12","A"
"378",6312,6453,1998-05-17,10944,304,"36","C"
"379",6313,6461,1997-06-15,150912,4192,"36","C"
"380",6315,6472,1995-02-06,43164,3597,"12","A"
"381",6316,6473,1994-05-26,76908,6409,"12","B"
"382",6320,6495,1998-04-28,104964,8747,"12","C"
"383",6321,6505,1998-10-08,38496,3208,"12","C"
"384",6322,6510,1997-05-06,76992,3208,"24","C"
"385",6336,6555,1994-03-31,212400,5900,"36","A"
"386",6338,6592,1997-08-24,390660,6511,"60","C"
"387",6342,6609,1995-11-12,60156,1671,"36","B"
"388",6346,6649,1997-05-22,100260,1671,"60","C"
"389",6350,6678,1997-07-09,294384,6133,"48","C"
"390",6353,6686,1997-12-25,116496,4854,"24","C"
"391",6354,6688,1996-10-23,22968,638,"36","C"
"392",6355,6699,1997-09-24,127200,2650,"48","C"
"393",6356,6701,1993-12-08,95400,2650,"36","A"
"394",6357,6706,1998-07-12,64860,1081,"60","C"
"395",6358,6715,1995-01-14,137880,2298,"60","D"
"396",6362,6738,1995-10-31,37908,3159,"12","A"
"397",6377,6792,1997-03-17,17184,1432,"12","A"
"398",6386,6856,1997-04-30,124344,3454,"36","C"
"399",6399,6902,1997-12-21,49320,1370,"36","C"
"400",6402,6922,1998-12-06,139488,5812,"24","C"
"401",6403,6924,1995-12-05,194880,4060,"48","C"
"402",6407,6930,1994-05-26,25944,1081,"24","A"
"403",6415,6950,1997-02-12,475680,9910,"48","C"
"404",6421,6985,1996-07-25,96768,2688,"36","C"
"405",6435,7045,1997-06-16,288720,6015,"48","C"
"406",6436,7049,1998-05-22,495180,8253,"60","C"
"407",6437,7052,1997-11-09,63972,1777,"36","D"
"408",6442,7082,1998-02-08,194160,4045,"48","C"
"409",6450,7099,1998-06-10,234336,4882,"48","C"
"410",6456,7123,1993-12-09,47016,3918,"12","A"
"411",6460,7133,1994-11-06,48672,1352,"36","A"
"412",6461,7136,1996-09-19,74124,2059,"36","C"
"413",6464,7156,1998-04-16,49488,2062,"24","C"
"414",6468,7176,1997-11-30,203940,3399,"60","C"
"415",6469,7180,1998-11-17,99744,4156,"24","C"
"416",6470,7181,1998-05-17,49872,4156,"12","C"
"417",6471,7184,1996-08-04,155640,6485,"24","A"
"418",6474,7190,1995-06-06,63360,1056,"60","C"
"419",6486,7240,1998-01-15,152160,2536,"60","C"
"420",6490,7262,1997-02-10,73260,1221,"60","C"
"421",6495,7274,1998-03-12,49044,4087,"12","C"
"422",6499,7401,1994-01-05,80952,3373,"24","A"
"423",6501,7418,1996-04-29,30276,2523,"12","B"
"424",6502,7424,1997-12-08,30276,2523,"12","A"
"425",6508,7437,1998-04-19,110736,2307,"48","C"
"426",6509,7445,1994-03-15,55368,2307,"24","A"
"427",6512,7454,1994-05-26,63312,1319,"48","A"
"428",6520,7485,1994-03-16,91200,3800,"24","A"
"429",6526,7523,1995-01-03,288468,8013,"36","A"
"430",6534,7542,1997-10-19,590820,9847,"60","C"
"431",6535,7546,1995-11-02,41952,3496,"12","A"
"432",6539,7559,1998-07-11,12792,1066,"12","C"
"433",6540,7562,1995-12-31,309600,6450,"48","C"
"434",6541,7565,1997-08-17,153504,3198,"48","C"
"435",6544,7594,1997-12-11,130464,2718,"48","C"
"436",6545,7606,1995-12-12,191880,3198,"60","C"
"437",6546,7607,1995-03-27,31728,1322,"24","A"
"438",6550,7614,1996-05-18,320592,6679,"48","C"
"439",6552,7632,1998-01-08,170448,3551,"48","C"
"440",6553,7636,1998-01-26,42384,3532,"12","C"
"441",6554,7637,1997-01-29,390096,8127,"48","C"
"442",6562,7674,1997-03-21,94488,3937,"24","C"
"443",6568,7713,1998-02-25,220440,3674,"60","C"
"444",6569,7721,1998-05-28,45456,3788,"12","C"
"445",6571,7733,1998-05-12,140064,5836,"24","C"
"446",6574,7745,1997-12-20,77544,2154,"36","C"
"447",6577,7753,1994-03-11,51696,2154,"24","A"
"448",6578,7765,1995-12-11,27984,2332,"12","A"
"449",6580,7769,1994-05-22,196080,4085,"48","A"
"450",6585,7795,1996-10-29,372120,6202,"60","C"
"451",6589,7815,1996-01-01,189696,7904,"24","A"
"452",6591,7819,1995-02-02,20832,434,"48","C"
"453",6594,7824,1994-09-28,189696,7904,"24","B"
"454",6596,7844,1994-06-25,91584,3816,"24","A"
"455",6598,7857,1995-01-18,68112,5676,"12","A"
"456",6599,7859,1996-11-19,72120,6010,"12","A"
"457",6600,7861,1995-10-08,21852,607,"36","A"
"458",6605,7890,1997-10-14,79344,1653,"48","C"
"459",6607,7894,1997-10-21,153144,4254,"36","C"
"460",6612,7907,1997-08-31,97392,8116,"12","A"
"461",6613,7926,1996-09-22,84120,3505,"24","A"
"462",6621,7957,1997-06-14,42900,3575,"12","A"
"463",6624,7965,1994-09-30,71460,5955,"12","A"
"464",6625,7966,1997-09-07,473280,7888,"60","D"
"465",6632,7990,1998-04-23,144960,3020,"48","C"
"466",6633,7997,1998-02-05,160656,6694,"24","C"
"467",6641,8026,1997-09-09,128268,3563,"36","C"
"468",6642,8027,1994-06-05,77640,6470,"12","A"
"469",6643,8038,1998-01-18,35856,1494,"24","C"
"470",6644,8039,1996-10-20,93600,3900,"24","A"
"471",6645,8041,1994-11-06,140400,3900,"36","A"
"472",6647,8051,1994-06-01,208320,4340,"48","A"
"473",6650,8073,1994-02-17,49320,4110,"12","B"
"474",6655,8085,1997-10-17,260400,4340,"60","D"
"475",6659,8092,1996-02-20,56100,935,"60","C"
"476",6660,8094,1997-05-09,220428,6123,"36","C"
"477",6665,8114,1997-08-15,99300,1655,"60","C"
"478",6667,8127,1996-07-15,155880,6495,"24","A"
"479",6668,8129,1994-07-30,74736,2076,"36","A"
"480",6675,8158,1997-11-01,238716,6631,"36","C"
"481",6676,8159,1995-06-13,29784,1241,"24","A"
"482",6677,8169,1997-08-12,97980,1633,"60","C"
"483",6678,8173,1994-05-20,80340,6695,"12","A"
"484",6682,8225,1998-03-30,36204,3017,"12","D"
"485",6686,8260,1994-08-25,224604,6239,"36","A"
"486",6687,8261,1993-09-13,87840,3660,"24","A"
"487",6688,8268,1997-09-26,8616,359,"24","C"
"488",6694,8316,1995-03-19,134784,5616,"24","A"
"489",6695,8320,1997-06-04,309660,5161,"60","C"
"490",6696,8321,1994-05-09,89040,1484,"60","C"
"491",6698,8327,1996-03-10,247728,5161,"48","C"
"492",6699,8330,1994-03-30,7656,319,"24","A"
"493",6704,8377,1995-06-01,417060,6951,"60","C"
"494",6705,8381,1997-07-25,333648,6951,"48","D"
"495",6712,8405,1995-10-14,266220,4437,"60","C"
"496",6715,8411,1996-05-06,220620,3677,"60","C"
"497",6721,8475,1994-01-21,21072,878,"24","A"
"498",6725,8489,1995-06-23,265320,7370,"36","A"
"499",6726,8492,1995-09-03,85860,1431,"60","C"
"500",6727,8505,1997-12-10,42840,3570,"12","A"
